areaCode,areaName,areaType,date,cumCasesBySpecimenDate,cumDeaths60DaysByDeathDate,cumPeopleVaccinatedCompleteByVaccinationDate,cumPeopleVaccinatedFirstDoseByVaccinationDate,cumPeopleVaccinatedSecondDoseByVaccinationDate
E92000001,England,nation,2020-10-21,721518,43946,,,
E92000001,England,nation,2020-10-20,700037,43746,,,
E92000001,England,nation,2020-10-19,678706,43562,,,
E92000001,England,nation,2020-10-18,656602,43402,,,
E92000001,England,nation,2020-10-17,644749,43278,,,
E92000001,England,nation,2020-10-16,632397,43110,,,
E92000001,England,nation,2020-10-15,617849,42982,,,
E92000001,England,nation,2020-10-14,602608,42851,,,
E92000001,England,nation,2020-10-13,586170,42745,,,
E92000001,England,nation,2020-10-12,570735,42651,,,
E92000001,England,nation,2020-10-11,554543,42553,,,
E92000001,England,nation,2020-10-10,544890,42443,,,
E92000001,England,nation,2020-10-09,534739,42352,,,
E92000001,England,nation,2020-10-08,521730,42273,,,
E92000001,England,nation,2020-10-07,506467,42193,,,
E92000001,England,nation,2020-10-06,491278,42104,,,
E92000001,England,nation,2020-10-05,476989,42036,,,
E92000001,England,nation,2020-10-04,462954,41973,,,
E92000001,England,nation,2020-10-03,453120,41916,,,
E92000001,England,nation,2020-10-02,443423,41855,,,
E92000001,England,nation,2020-10-01,431849,41788,,,
E92000001,England,nation,2020-09-30,420549,41727,,,
E92000001,England,nation,2020-09-29,410026,41676,,,
E92000001,England,nation,2020-09-28,401312,41632,,,
E92000001,England,nation,2020-09-27,392738,41582,,,
E92000001,England,nation,2020-09-26,386713,41533,,,
E92000001,England,nation,2020-09-25,381066,41495,,,
E92000001,England,nation,2020-09-24,375032,41460,,,
E92000001,England,nation,2020-09-23,368742,41424,,,
E92000001,England,nation,2020-09-22,362856,41369,,,
E92000001,England,nation,2020-09-21,357503,41331,,,
E92000001,England,nation,2020-09-20,352805,41301,,,
E92000001,England,nation,2020-09-19,348180,41268,,,
